movie_title,duration,imdb_score
The Algerian ,99,7.6
Echo Dr. ,81,3.6
Ramanujan ,153,7
The Blood of My Brother ,90,6.6
Naturally Native ,107,6.5
Dancin' It's On ,89,2.8
"Run, Hide, Die ",75,3.7
Growing Up Smith ,102,8.2
Little Big Top ,83,6.5
Faith Connections ,115,7
Fired Up             ,30,6.7
Dry Spell ,90,3.3
A Tale of Three Cities ,130,6.2
The Touch ,7,5.2
Four Single Fathers ,100,5.1
1982 ,90,7.1
The Young Unknowns ,87,4.2
Antarctic Edge: 70° South ,72,7
The Naked Ape ,,4.7
Short Cut to Nirvana: Kumbh Mela ,85,7.2
Certifiably Jonathan ,85,6.2
Wind Walkers ,93,3.6
Sanctuary; Quite a Conundrum ,82,5.4
Bang Bang Baby ,90,5.4
The Horror Network Vol. 1 ,97,7.3
Love in the Time of Monsters ,97,5.4
The Legend of God's Gun ,78,4.1
Western Religion ,105,4
Sholem Aleichem: Laughing in the Darkness ,93,6.8
On the Downlow ,84,6.1
The Stewardesses ,93,4
Jungle Shuffle ,85,4.8
The Dog Lover ,101,4.8
Departure ,109,7
Windsor Drive ,90,3.2
Dolphins and Whales 3D: Tribes of the Ocean ,42,6.5
Romantic Schemer ,,5.1
Hands of Stone ,105,7.2
Gory Gory Hallelujah ,96,4.7
A True Story ,96,5.5
Censored Voices ,84,7.2
Crying with Laughter ,93,6.9
H. ,93,6.3
Raymond Did It ,83,3.2
The King of Najayo ,101,6.9
Crop Circles: Quest for Truth ,115,7
Rotor DR1 ,98,3.4
Flying By ,90,4.5
We Have Your Husband ,87,5.5
Black Water Transit ,,7.2
Top Cat Begins ,89,4.4
Born of War ,109,4.4
Iguana ,97,6.2
Locker 13 ,95,4.8
Outside Bet ,101,4.8
Harry Potter and the Deathly Hallows: Part I ,,6.4
Down for Life ,92,7.3
Dil Jo Bhi Kahey... ,,5.1
Alleluia! The Devil's Carnival ,97,7.4
Top Spin ,80,7.1
Camping sauvage ,79,5.4
Food Chains ,83,7.1
Fort McCoy ,100,5.9
Roadside ,81,4.1
The Big Swap ,114,5.6
The Border             ,41,7.4
Hum To Mohabbat Karega ,,2.8
Proud ,87,5.8
Sex with Strangers ,105,4.7
Supercapitalist ,102,3.9
Sisters in Law ,104,7.5
Vessel ,14,6.2
Subconscious ,122,2.2
Steppin: The Movie ,138,3.4
"First Love, Last Rites ",94,5.5
Sea Rex 3D: Journey to a Prehistoric World ,41,6.9
Deadline Gallipoli             ,197,7.4
The Californians ,87,5
Rust ,95,5.7
10 Days in a Madhouse ,111,7.5
My Lucky Star ,114,5.1
House at the End of the Drive ,91,6.9
Along the Roadside ,108,7.1
The Vatican Exorcisms ,76,2.6
Abandoned ,86,6.3
The Last Big Thing ,98,6.9
Del 1 - Män som hatar kvinnor             ,88,8.1
Ayurveda: Art of Being ,102,7.6
The Masked Saint ,105,4.7
Treachery ,67,3.9
The Case of the Grinning Cat ,59,7.4
The World Is Mine ,104,6.5
Rockaway ,90,4.6
Free Style ,94,4.2
Compadres ,101,5
Show Me ,97,6
Taxman ,104,5.5
Godzilla Resurgence ,120,8.2
Godzilla Resurgence ,120,8.2
Sparkler ,90,5.6
Harry Potter and the Deathly Hallows: Part II ,,7.5
Z Storm ,92,5.3
Black November ,95,5.6
Irreplaceable ,102,7.2
A Warrior's Tail ,85,4.1
"The Book of Mormon Movie, Volume 1: The Journey ",120,3.3
16 to Life ,89,6.3
"I Love You, Don't Touch Me! ",86,5.4
Legend of Kung Fu Rabbit ,89,3.2
Pete's Dragon ,102,7.3
