movie_title,duration,imdb_score
Justin Bieber: Never Say Never ,115,1.6
Foodfight! ,91,1.7
Superbabies: Baby Geniuses 2 ,88,1.9
Disaster Movie ,88,1.9
The Helix... Loaded ,97,1.9
Who's Your Caddy? ,93,2
United Passions ,110,2
From Justin to Kelly ,90,2.1
Crossover ,95,2.1
Glitter ,104,2.1
Snow White: A Deadly Summer ,83,2.2
Son of the Mask ,94,2.2
Subconscious ,122,2.2
Epic Movie ,93,2.3
Alone in the Dark ,94,2.3
Chairman of the Board ,95,2.3
Battlefield Earth ,119,2.4
Gigli ,121,2.4
Sunday School Musical ,93,2.5
Baby Geniuses ,97,2.5
The Vatican Exorcisms ,76,2.6
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo ,80,2.6
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It ,82,2.7
Date Movie ,85,2.7
Meet the Spartans ,86,2.7
The Real Cancun ,96,2.7
Dragonball: Evolution ,100,2.7
Inchon ,140,2.7
Barney's Great Adventure ,76,2.8
Doogal ,77,2.8
Marci X ,80,2.8
Mutant World ,82,2.8
Dancin' It's On ,89,2.8
Frat Party ,90,2.8
Jaws: The Revenge ,92,2.8
Steel ,97,2.8
The Bachelor             ,60,2.9
The True Story of Puss'N Boots ,80,2.9
Daddy Day Camp ,89,2.9
BloodRayne ,92,2.9
The Dead Undead ,89,3
Shanghai Surprise ,97,3
Rollerball ,98,3
Phat Girlz ,99,3
The Ridges ,143,3
Larry the Cable Guy: Health Inspector ,89,3.1
Lords of London ,90,3.1
Bled ,95,3.1
Checkmate ,97,3.1
Witless Protection ,97,3.1
Alien Uprising ,101,3.1
Left Behind ,110,3.1
Left Behind ,110,3.1
Raymond Did It ,83,3.2
Without Men ,87,3.2
Legend of Kung Fu Rabbit ,89,3.2
Windsor Drive ,90,3.2
Royal Kill ,90,3.2
Teen Wolf Too ,95,3.2
My Big Fat Independent Movie ,80,3.3
The Master of Disguise ,80,3.3
Police Academy: Mission to Moscow ,83,3.3
In the Name of the King: The Last Job ,86,3.3
Catwoman ,87,3.3
Dry Spell ,90,3.3
Spice World ,93,3.3
Crossroads ,93,3.3
Crossroads ,93,3.3
How She Move ,94,3.3
Neal 'N' Nikki ,97,3.3
Bucky Larson: Born to Be a Star ,97,3.3
Sharknado ,97,3.3
#Horror ,101,3.3
Feardotcom ,101,3.3
Fascination ,103,3.3
"The Book of Mormon Movie, Volume 1: The Journey ",120,3.3
Dumb and Dumberer: When Harry Met Lloyd ,85,3.4
The Walking Deceased ,88,3.4
Independence Daysaster ,90,3.4
Jack and Jill ,91,3.4
Shark Lake ,92,3.4
Hayride ,93,3.4
Galaxina ,95,3.4
Navy Seals vs. Zombies ,97,3.4
Rotor DR1 ,98,3.4
Standing Ovation ,105,3.4
God's Not Dead 2 ,120,3.4
Steppin: The Movie ,138,3.4
Meet the Browns             ,30,3.5
The Bold and the Beautiful             ,30,3.5
Vampires Suck ,82,3.5
An Alan Smithee Film: Burn Hollywood Burn ,86,3.5
Chain of Command ,88,3.5
Dance Flick ,88,3.5
Scary Movie 5 ,88,3.5
Fifty Shades of Black ,92,3.5
Zombie Hunter ,93,3.5
The Adventures of Sharkboy and Lavagirl 3-D ,93,3.5
You Got Served ,95,3.5
Megaforce ,99,3.5
The Omega Code ,100,3.5
Girls Gone Dead ,104,3.5
Echo Dr. ,81,3.6
Thomas and the Magic Railroad ,85,3.6
Swept Away ,89,3.6
Spy Kids: All the Time in the World in 4D ,89,3.6
Stan Helsing ,90,3.6
The Flintstones in Viva Rock Vegas ,90,3.6
Bats ,91,3.6
Ballistic: Ecks vs. Sever ,91,3.6
Wind Walkers ,93,3.6
The Cookout ,97,3.6
Luminarias ,100,3.6
The Last Godfather ,100,3.6
Dragon Wars: D-War ,107,3.6
Superman IV: The Quest for Peace ,134,3.6
"Run, Hide, Die ",75,3.7
The Lion of Judah ,87,3.7
Beverly Hills Chihuahua ,91,3.7
Mortal Kombat: Annihilation ,95,3.7
Street Fighter: The Legend of Chun-Li ,96,3.7
Cabin Fever ,99,3.7
Exorcist II: The Heretic ,118,3.7
Speed 2: Cruise Control ,121,3.7
Batman & Robin ,125,3.7
Extreme Movie ,76,3.8
Dudley Do-Right ,77,3.8
The Haunting of Molly Hartley ,82,3.8
The Cat in the Hat ,82,3.8
Crowsnest ,84,3.8
Woo ,84,3.8
The Love Guru ,87,3.8
The Devil's Tomb ,90,3.8
Furry Vengeance ,92,3.8
The Adventures of Pluto Nash ,95,3.8
Street Fighter ,102,3.8
Beastmaster 2: Through the Portal of Time ,107,3.8
In the Name of the King: A Dungeon Siege Tale ,156,3.8
Treachery ,67,3.9
AWOL-72 ,82,3.9
Soul Survivors ,84,3.9
One Missed Call ,87,3.9
Prom Night ,89,3.9
I Got the Hook Up ,93,3.9
Meet the Deedles ,93,3.9
Blonde Ambition ,93,3.9
The Pet ,94,3.9
Super Hybrid ,94,3.9
The Canyons ,99,3.9
Supercapitalist ,102,3.9
RoboCop 3 ,104,3.9
Go for It! ,105,3.9
All Superheroes Must Die ,78,4
Supercross ,80,4
3 Strikes ,82,4
Torque ,84,4
B-Girl ,88,4
The Country Bears ,88,4
Unnatural ,89,4
Devil's Due ,89,4
Shark Night 3D ,90,4
Book of Shadows: Blair Witch 2 ,90,4
Restoration ,92,4
The Stewardesses ,93,4
The Last Exorcism Part II ,93,4
The Wicked Lady ,98,4
Accidental Love ,100,4
Super Mario Bros. ,104,4
Western Religion ,105,4
The Legend of God's Gun ,78,4.1
Alien Zone ,79,4.1
Roadside ,81,4.1
The Apparition ,83,4.1
Universal Soldier: The Return ,83,4.1
Spy Kids 3-D: Game Over ,84,4.1
A Warrior's Tail ,85,4.1
On the Line ,85,4.1
In Her Line of Fire ,88,4.1
Chain Letter ,88,4.1
Boogeyman ,89,4.1
The Adventures of Rocky & Bullwinkle ,92,4.1
Halloween: Resurrection ,94,4.1
King's Ransom ,95,4.1
Underclassman ,95,4.1
Urban Legends: Final Cut ,97,4.1
Wing Commander ,100,4.1
Red Sky ,100,4.1
Madea Goes to Jail ,103,4.1
Megiddo: The Omega Code 2 ,104,4.1
One Direction: This Is Us ,106,4.1
Inspector Gadget ,110,4.1
I Can Do Bad All by Myself ,113,4.1
Da Sweet Blood of Jesus ,123,4.1
Fifty Shades of Grey ,129,4.1
Heartbeeps ,78,4.2
Farce of the Penguins ,80,4.2
No Vacancy ,81,4.2
The Gallows ,81,4.2
Zoom ,83,4.2
The Devil Inside ,83,4.2
The Young Unknowns ,87,4.2
Marmaduke ,87,4.2
Area 51 ,91,4.2
Free Style ,94,4.2
Thunderbirds ,95,4.2
Undiscovered ,97,4.2
The Legend of Hercules ,99,4.2
A Sound of Thunder ,102,4.2
Hannah Montana: The Movie ,102,4.2
The Last Airbender ,103,4.2
Code of Honor ,106,4.2
Ishtar ,107,4.2
Basic Instinct 2 ,116,4.2
Cats & Dogs: The Revenge of Kitty Galore ,82,4.3
An American Carol ,83,4.3
Foolish ,84,4.3
Hansel & Gretel Get Baked ,86,4.3
Def-Con 4 ,88,4.3
The Salon ,90,4.3
Impact Point ,90,4.3
Amnesiac ,90,4.3
Jason Goes to Hell: The Final Friday ,91,4.3
Drive Hard ,92,4.3
3 Ninjas Kick Back ,93,4.3
Fat Albert ,93,4.3
Movie 43 ,94,4.3
Ghost Rider: Spirit of Vengeance ,96,4.3
Johnson Family Vacation ,97,4.3
LOL ,97,4.3
Bizarre ,98,4.3
Littleman ,98,4.3
Highlander: The Final Dimension ,99,4.3
Fantastic Four ,100,4.3
Fantastic Four ,100,4.3
xXx: State of the Union ,101,4.3
Nutty Professor II: The Klumps ,109,4.3
Striptease ,117,4.3
In the Land of Blood and Honey ,127,4.3
Khiladi 786 ,141,4.3
Sex and the City 2 ,146,4.3
Whipped ,82,4.4
Jason X ,85,4.4
Alvin and the Chipmunks: Chipwrecked ,87,4.4
Top Cat Begins ,89,4.4
Kangaroo Jack ,89,4.4
Ouija ,89,4.4
Getaway ,90,4.4
Soul Plane ,92,4.4
Black Nativity ,93,4.4
Delgo ,94,4.4
Dying of the Light ,94,4.4
Paul Blart: Mall Cop 2 ,94,4.4
Ultraviolet ,94,4.4
The Frozen ,95,4.4
Skyline ,97,4.4
The Shaggy Dog ,98,4.4
Atlas Shrugged: Who Is John Galt? ,99,4.4
The Island of Dr. Moreau ,99,4.4
On Deadly Ground ,101,4.4
Town & Country ,104,4.4
The Legend of Hell's Gate: An American Conspiracy ,108,4.4
Born of War ,109,4.4
The Nutcracker in 3D ,110,4.4
"Big Mommas: Like Father, Like Son ",113,4.4
Why Did I Get Married Too? ,121,4.4
Happily N'Ever After ,75,4.5
Space Chimps ,81,4.5
Superhero Movie ,82,4.5
My Baby's Daddy ,86,4.5
Freddy Got Fingered ,87,4.5
Alvin and the Chipmunks: The Squeakquel ,88,4.5
The Curse of Downers Grove ,89,4.5
Flying By ,90,4.5
You Got Served: Beat the World ,91,4.5
Juwanna Mann ,91,4.5
The Vatican Tapes ,91,4.5
Code Name: The Cleaner ,91,4.5
Extreme Ops ,93,4.5
Black Christmas ,94,4.5
The Perfect Match ,96,4.5
Graduation Day ,96,4.5
The Opposite Sex ,97,4.5
The Maid's Room ,98,4.5
Poltergeist III ,98,4.5
Below Zero ,99,4.5
Agent Cody Banks 2: Destination London ,100,4.5
Vampire in Brooklyn ,100,4.5
Friday the 13th Part VIII: Jason Takes Manhattan ,100,4.5
All the Queen's Men ,105,4.5
Butterfly ,108,4.5
The Lovers ,109,4.5
The Lovers ,109,4.5
High School Musical 3: Senior Year ,112,4.5
Driven ,116,4.5
Can't Stop the Music ,124,4.5
Stonewall ,129,4.5
Yogi Bear ,80,4.6
The Jerky Boys ,82,4.6
Deuce Bigalow: European Gigolo ,83,4.6
The Wicked Within ,84,4.6
Nurse 3D ,84,4.6
The Virginity Hit ,86,4.6
Corky Romano ,86,4.6
Detention of the Dead ,87,4.6
Dr. Dolittle 2 ,87,4.6
The Tooth Fairy ,89,4.6
Confessions of a Teenage Drama Queen ,89,4.6
Anaconda ,89,4.6
Rockaway ,90,4.6
My Boss's Daughter ,90,4.6
Exeter ,91,4.6
The Boy Next Door ,91,4.6
The Wash ,93,4.6
The Prince ,93,4.6
College ,94,4.6
Decoys ,95,4.6
Are We There Yet? ,95,4.6
"Legally Blonde 2: Red, White & Blonde ",95,4.6
Swelter ,96,4.6
Paranormal Activity 4 ,96,4.6
Anacondas: The Hunt for the Blood Orchid ,97,4.6
Half Past Dead ,98,4.6
Halloween III: Season of the Witch ,98,4.6
Big Momma's House 2 ,99,4.6
I Still Know What You Did Last Summer ,100,4.6
Warriors of Virtue ,101,4.6
Highlander: Endgame ,101,4.6
Breakfast of Champions ,110,4.6
Howard the Duck ,110,4.6
90 Minutes in Heaven ,121,4.6
The Twilight Saga: New Moon ,130,4.6
Showgirls ,131,4.6
Jonah Hex ,81,4.7
Black Rock ,83,4.7
"Surfer, Dude ",85,4.7
A Haunted House 2 ,86,4.7
Against the Wild ,90,4.7
Motherhood ,90,4.7
American Ninja 2: The Confrontation ,90,4.7
Pulse ,90,4.7
Out of the Dark ,92,4.7
Friday the 13th: A New Beginning ,92,4.7
The Marine ,92,4.7
The Veil ,93,4.7
Monkeybone ,93,4.7
The Perfect Wave ,94,4.7
Hanging Up ,94,4.7
Gory Gory Hallelujah ,96,4.7
Valentine ,96,4.7
The Next Best Thing ,99,4.7
A Madea Christmas ,100,4.7
Turbulence ,100,4.7
The Face of an Angel ,101,4.7
Full Frontal ,101,4.7
Herbie Fully Loaded ,101,4.7
Aliens vs. Predator: Requiem ,102,4.7
Did You Hear About the Morgans? ,103,4.7
The Musketeer ,104,4.7
Sex with Strangers ,105,4.7
The Masked Saint ,105,4.7
Raise the Titanic ,119,4.7
Fugly ,134,4.7
Chasing Papi ,76,4.8
Containment ,77,4.8
The Animal ,84,4.8
Jungle Shuffle ,85,4.8
Hoodwinked Too! Hood vs. Evil ,86,4.8
The Barbarians ,87,4.8
DOA: Dead or Alive ,87,4.8
Dawn Patrol ,88,4.8
Yoga Hosers ,88,4.8
Twixt ,88,4.8
They ,89,4.8
The Unborn ,89,4.8
The Unborn ,89,4.8
And Then Came Love ,90,4.8
Eden ,90,4.8
Knock Off ,91,4.8
Supernova ,91,4.8
New York Minute ,91,4.8
The Roommate ,91,4.8
The Flintstones ,91,4.8
Crocodile Dundee in Los Angeles ,92,4.8
Texas Chainsaw 3D ,92,4.8
The Forest ,93,4.8
Train ,94,4.8
Locker 13 ,95,4.8
Black Knight ,95,4.8
Something Wicked ,95,4.8
2:13 ,96,4.8
Teenage Mutant Ninja Turtles III ,96,4.8
The Lost Medallion: The Adventures of Billy Stone ,97,4.8
Virgin Territory ,97,4.8
Lost Souls ,97,4.8
Envy ,99,4.8
All About Steve ,99,4.8
Losin' It ,100,4.8
102 Dalmatians ,100,4.8
Elektra ,100,4.8
The Dog Lover ,101,4.8
Outside Bet ,101,4.8
Godsend ,102,4.8
Zoolander 2 ,102,4.8
The Spirit ,103,4.8
Wild Wild West ,106,4.8
My Soul to Take ,107,4.8
My Soul to Take ,107,4.8
Charlie's Angels: Full Throttle ,107,4.8
High School Musical 2 ,111,4.8
Madea's Witness Protection ,114,4.8
Sheena ,117,4.8
Chocolate: Deep Dark Secrets ,160,4.8
Close Range ,80,4.9
Gulliver's Travels ,85,4.9
American Hero ,86,4.9
Scooby-Doo ,86,4.9
No Man's Land: The Rise of Reeker ,88,4.9
The Big Bounce ,88,4.9
Seed of Chucky ,88,4.9
The Haunted Mansion ,88,4.9
Shorts ,89,4.9
Snow Day ,89,4.9
I Don't Know How She Does It ,89,4.9
The Darkest Hour ,89,4.9
Meet Dave ,90,4.9
The Sleepwalker ,91,4.9
Adulterers ,91,4.9
Down to You ,91,4.9
Animals United ,93,4.9
Deck the Halls ,93,4.9
Halloween: The Curse of Michael Myers ,93,4.9
The Cold Light of Day ,93,4.9
Freddy's Dead: The Final Nightmare ,93,4.9
Scooby-Doo 2: Monsters Unleashed ,93,4.9
My Favorite Martian ,94,4.9
Say It Isn't So ,95,4.9
Darkness Falls ,96,4.9
Boat Trip ,97,4.9
The Pallbearer ,98,4.9
Ghosts of Mars ,98,4.9
Harvard Man ,99,4.9
Abandon ,99,4.9
Lottery Ticket ,99,4.9
Dracula 2000 ,99,4.9
The Phantom ,100,4.9
Tammy ,100,4.9
Year One ,100,4.9
After Earth ,100,4.9
Animal Kingdom: Let's go Ape ,101,4.9
Shadow Conspiracy ,103,4.9
Our Family Wedding ,103,4.9
Dungeons & Dragons: Wrath of the Dragon God ,105,4.9
Meteor ,108,4.9
Summer Catch ,108,4.9
Eye of the Beholder ,109,4.9
The Haunting ,113,4.9
Holy Man ,114,4.9
The Women ,114,4.9
The Ridiculous 6 ,119,4.9
Halloween II ,119,4.9
Halloween II ,119,4.9
The Twilight Saga: Eclipse ,124,4.9
Superman III ,125,4.9
Doug's 1st Movie ,77,5
Garfield ,80,5
Superstar ,81,5
Swimfan ,85,5
Garfield 2 ,86,5
Chernobyl Diaries ,86,5
The Californians ,87,5
Stung ,87,5
When a Stranger Calls ,87,5
Red Sonja ,89,5
Survival of the Dead ,90,5
Home Fries ,91,5
An American Haunting ,91,5
The Happening ,91,5
Alvin and the Chipmunks: The Road Chip ,92,5
Modern Problems ,93,5
The Brown Bunny ,93,5
Silent Hill: Revelation 3D ,95,5
Baggage Claim ,96,5
The Ten ,96,5
The Legend of the Lone Ranger ,98,5
Cursed ,99,5
The Velocity of Gary ,100,5
Compadres ,101,5
Paranormal Activity: The Marked Ones ,101,5
Agent Cody Banks ,102,5
Lucky Numbers ,105,5
Abduction ,106,5
Madea's Family Reunion ,107,5
Girl 6 ,108,5
Congo ,109,5
Battle of the Year ,110,5
The Rise of the Krays ,110,5
Miss Congeniality 2: Armed and Fabulous ,115,5
Get Rich or Die Tryin' ,117,5
Brave New Girl ,120,5
Stealth ,121,5
Fame ,123,5
The Grudge 2 ,137,5
Creature             ,173,5
Stay Alive ,75,5.1
The Ladies Man ,84,5.1
Stealing Harvard ,85,5.1
Stealing Harvard ,85,5.1
Malibu's Most Wanted ,86,5.1
A Haunted House ,86,5.1
Excessive Force ,87,5.1
Good Boy! ,87,5.1
2016: Obama's America ,87,5.1
Hot Pursuit ,87,5.1
Re-Kill ,88,5.1
G-Force ,88,5.1
Held Up ,89,5.1
ZMD: Zombies of Mass Destruction ,89,5.1
The Hills Have Eyes II ,89,5.1
Scary Movie 4 ,89,5.1
Malevolence ,90,5.1
Unaccompanied Minors ,90,5.1
The Son of No One ,90,5.1
Miss March ,90,5.1
The Sweetest Thing ,90,5.1
I Want Your Money ,92,5.1
Vamps ,92,5.1
The Three Stooges ,92,5.1
"I, Frankenstein ",92,5.1
Not Cool ,93,5.1
Alex Rider: Operation Stormbreaker ,93,5.1
The Cave ,93,5.1
The Longshots ,94,5.1
House Party 2 ,94,5.1
Sex Tape ,94,5.1
Christmas Eve ,95,5.1
My Super Ex-Girlfriend ,95,5.1
The Toxic Avenger Part II ,96,5.1
Here on Earth ,96,5.1
The Transporter Refueled ,96,5.1
Air Bud ,98,5.1
The Informers ,98,5.1
Like Mike ,99,5.1
Snow Dogs ,99,5.1
Hot Tub Time Machine 2 ,99,5.1
Big Momma's House ,99,5.1
Four Single Fathers ,100,5.1
Spy Kids 2: Island of Lost Dreams ,100,5.1
Thr3e ,101,5.1
The Lords of Salem ,101,5.1
Sorority Row ,101,5.1
Alex Cross ,101,5.1
Return to the Blue Lagoon ,102,5.1
The Order ,102,5.1
Get Carter ,102,5.1
Darling Companion ,103,5.1
Pound of Flesh ,104,5.1
Maid in Manhattan ,105,5.1
Jade ,107,5.1
Bless the Child ,107,5.1
Dylan Dog: Dead of Night ,107,5.1
The Dukes of Hazzard ,107,5.1
Jennifer's Body ,107,5.1
My Lucky Star ,114,5.1
Asterix at the Olympic Games ,116,5.1
The Bridge of San Luis Rey ,120,5.1
Exorcist: The Beginning ,125,5.1
Lost in Space ,130,5.1
Random Hearts ,133,5.1
The Scarlet Letter ,135,5.1
Vaalu ,155,5.1
The Touch ,7,5.2
Pootie Tang ,81,5.2
The Final Destination ,82,5.2
The Lazarus Effect ,83,5.2
Scary Movie 2 ,83,5.2
Good Intentions ,84,5.2
Space Dogs ,85,5.2
The Janky Promoters ,85,5.2
The Wild Thornberrys Movie ,85,5.2
Apollo 18 ,86,5.2
Walking with Dinosaurs 3D ,87,5.2
Cats & Dogs ,87,5.2
3 Backyards ,88,5.2
Enter the Dangerous Mind ,88,5.2
Vampire Killers ,88,5.2
The Marine 4: Moving Target ,90,5.2
Shutter ,90,5.2
Flubber ,90,5.2
Damnation Alley ,91,5.2
Catch That Kid ,91,5.2
Paul Blart: Mall Cop ,91,5.2
I Am Wrath ,92,5.2
Alvin and the Chipmunks ,92,5.2
Inescapable ,93,5.2
Bait ,93,5.2
The Stepford Wives ,93,5.2
Trippin' ,94,5.2
Clockstoppers ,94,5.2
American Heist ,94,5.2
Fear Clinic ,95,5.2
Flipper ,95,5.2
Over Her Dead Body ,95,5.2
Ri¢hie Ri¢h ,95,5.2
Action Jackson ,96,5.2
Halloween 5 ,96,5.2
Sinister 2 ,97,5.2
Spawn ,98,5.2
High School Musical ,98,5.2
Donkey Punch ,99,5.2
Christmas with the Kranks ,99,5.2
Legion ,100,5.2
Queen of the Damned ,101,5.2
Chill Factor ,102,5.2
Racing Stripes ,102,5.2
Zookeeper ,102,5.2
Forget Me Not ,103,5.2
The Wedding Planner ,103,5.2
Tank Girl ,104,5.2
Speedway Junky ,105,5.2
Little Black Book ,105,5.2
My Stepmother Is an Alien ,105,5.2
Addicted ,106,5.2
The Medallion ,108,5.2
Stomp the Yard ,109,5.2
Texas Rangers ,110,5.2
Welcome to Mooseport ,110,5.2
Strangerland ,112,5.2
The 5th Wave ,112,5.2
The Mummy: Tomb of the Dragon Emperor ,112,5.2
Doom ,113,5.2
Sphinx ,118,5.2
The Wiz ,118,5.2
Annie ,118,5.2
Twilight ,122,5.2
Twilight ,122,5.2
Ghost Rider ,123,5.2
Snow Queen ,80,5.3
Spy Hard ,81,5.3
Demonic ,83,5.3
Doctor Dolittle ,85,5.3
Slackers ,86,5.3
Silent House ,86,5.3
20 Dates ,87,5.3
Strange Wilderness ,87,5.3
Bachelorette ,87,5.3
Double Take ,88,5.3
Post Grad ,88,5.3
Friday the 13th Part VII: The New Blood ,88,5.3
All Hat ,89,5.3
Sleepover ,89,5.3
Bride of Chucky ,89,5.3
The Adventures of Pinocchio ,90,5.3
The Forsaken ,90,5.3
The Out-of-Towners ,90,5.3
Alpha and Omega ,90,5.3
Little Nicky ,90,5.3
Civil Brand ,91,5.3
Wolves ,91,5.3
Max Keeble's Big Move ,91,5.3
D.E.B.S. ,91,5.3
The Glimmer Man ,91,5.3
License to Wed ,91,5.3
One for the Money ,91,5.3
Z Storm ,92,5.3
Woman on Top ,92,5.3
Roadside Romeo ,93,5.3
How to Be a Player ,93,5.3
Tim and Eric's Billion Dollar Movie ,93,5.3
The Brothers Solomon ,93,5.3
Walter ,94,5.3
Boys and Girls ,94,5.3
The Lizzie McGuire Movie ,94,5.3
Honey ,94,5.3
Spring Breakers ,94,5.3
Into the Grizzly Maze ,94,5.3
